"ID","Dia_sem","Mes","Dia_ocor","Hora","Distrito","Preco","Coord"
"966066","3","4","28","5","BROOKLYN","735071.4285714285","(40.5849697290001, -73.971062703)"
"1039537","7","4","4","20","QUEENS","284660.3846153846","(40.717821121, -73.737655259)"
"1060243","7","1","3","18","MANHATTAN","1369658.4090909092","(40.7410496420001, -73.996013862)"
"820748","2","3","16","8","QUEENS","271529.57692307694","(40.7252126750001, -73.906172928)"
"895013","4","2","11","8","MANHATTAN","1449851.1363636365","(40.778060006, -73.950065738)"
"1100903","4","11","11","18","BROOKLYN","813043.8571428572","(40.6532472010001, -73.9561092339999)"
"839456","1","5","10","17","MANHATTAN","1471835.2159090908","(40.8644707730001, -73.918944803)"
"1007519","1","10","11","15","BROOKLYN","807918.918367347","(40.7077116240001, -73.943265378)"
"956806","2","9","7","1","BRONX","80778.125","(40.8403219530001, -73.865178906)"
"1107715","2","3","2","10","MANHATTAN","1449397.7272727273","(40.7833127660001, -73.9726411669999)"
"1081854","3","7","7","8","BRONX","103389.0625","(40.8675739930001, -73.84951896)"
"761540","5","12","10","10","MANHATTAN","1682289.6590909092","(40.854626388, -73.9380431449999)"
"985551","3","6","9","11","BROOKLYN","773386.612244898","(40.700511239, -73.941540394)"
"1108200","7","10","3","16","QUEENS","389583.8461538461","(40.7608028440001, -73.8307440139999)"
"910658","7","3","21","23","QUEENS","271529.57692307694","(40.756147894, -73.871164171)"
"1114935","1","8","9","22","BRONX","79593.75","(40.844643342, -73.889555816)"
"1114600","7","7","25","18","MANHATTAN","1487719.0909090908","(40.7380024, -73.9878912899999)"
"1056362","4","5","20","20","BRONX","80687.5","(40.830722328, -73.827126059)"
"1094695","1","3","29","15","BROOKLYN","735019.1836734693","(40.6782405100001, -73.8955097049999)"
"1060983","4","6","24","8","BROOKLYN","773386.612244898","(40.63254627, -73.975343827)"
"802264","4","2","18","20","BRONX","74831.25.5","(40.8844435140001, -73.9074671239999)"
"1004919","7","8","1","7","BROOKLYN","776779.5918367347","(40.67784356, -73.885087528)"
"1079907","3","6","30","7","BROOKLYN","773386.612244898","(40.6681552310001, -73.952054916)"
"943175","4","7","8","18","QUEENS","325513.28205128206","(40.7565946780001, -73.8756030179999)"
"1102469","4","7","15","0","BRONX","103389.0625","(40.901187437, -73.8468274969999)"
"967950","3","4","14","14","MANHATTAN","1557982.8295454546","(40.8657878450001, -73.9265717869999)"
"1087067","1","8","16","3","BRONX","79593.75","(40.853408341, -73.864848739)"
"1050504","7","11","7","17","BROOKLYN","813043.8571428572","(40.5865115560001, -73.9523367479999)"
